UIC	CMP	ALD	CRD	LAD	RDD	ORIG_GEO	ORIG_NAME	POE_GEO	POE_NAME	POD_GEO	POD_NAME	SRC	PAX	TOTAL_STONS
uic_18	A	N040	N011	N037	N028	HCTL	FT BRAGG	TMKH	POPE AAF	LCEU	EUROPE	SRC_6	100	0
uic_18	A	N022	N011	N019	N010	HCTL	FT BRAGG	TMKH	POPE AAF	LCEU	EUROPE	SRC_6	650	32.6
uic_18	A	N025	N011	N002	C023	HCTL	FT BRAGG	ZBES	WILMINGTON	LCEU	EUROPE	SRC_6	0	955.4
uic_22	A	C020	C035	C023	C032	HDBL	FT CAMPBELL	CYWF	CAMPBELL AAF	LCEU	EUROPE	SRC_1	129	318.5
uic_24	A	C031	C060	C034	C043	HDBL	FT CAMPBELL	CYWF	CAMPBELL AAF	LCEU	EUROPE	SRC_1	129	318.5
uic_46	A	N009	N011	N006	C003	HFTZ	FT HOOD	UHGN	ROBERT GRAY AAF	LCEU	EUROPE	SRC_7	614	138
uic_48	A	N029	N011	N026	N017	HFTZ	FT HOOD	UHGN	ROBERT GRAY AAF	LCEU	EUROPE	SRC_0	126	0
uic_48	A	N025	N011	C001	C026	HFTZ	FT HOOD	BBNV	BEAUMONT	LCEU	EUROPE	SRC_0	0	410.7
uic_50	A	C064	C120	C067	C076	HFTZ	FT HOOD	UHGN	ROBERT GRAY AAF	LCEU	EUROPE	SRC_0	151	0
uic_50	A	C070	C120	C096	C121	HFTZ	FT HOOD	BBNV	BEAUMONT	LCEU	EUROPE	SRC_0	0	322.6
uic_52	A	C083	C145	C086	C095	HFTZ	FT HOOD	UHGN	ROBERT GRAY AAF	LCEU	EUROPE	SRC_0	151	0
uic_52	A	C087	C145	C113	C138	HFTZ	FT HOOD	BBNV	BEAUMONT	LCEU	EUROPE	SRC_0	0	322.6
uic_62	A	N029	N011	N026	N017	HKBN	FT RILEY	GUQE	FORBES FLD	LCEU	EUROPE	SRC_0	126	0
uic_62	A	N025	N011	C001	C026	HKBN	FT RILEY	BBNV	BEAUMONT	LCEU	EUROPE	SRC_0	0	410.7
uic_64	A	C034	C090	C037	C046	HDDL	FT CARSON	TDHV	CITY OF COLORADO	LCEU	EUROPE	SRC_0	151	0
uic_64	A	C042	C090	C068	C093	HDDL	FT CARSON	BBNV	BEAUMONT	LCEU	EUROPE	SRC_0	0	322.6
uic_70	A	C037	C085	C040	C049	HDDL	FT CARSON	TDHV	CITY OF COLORADO	LCEU	EUROPE	SRC_4	130	0
uic_70	A	C044	C085	C070	C095	HDDL	FT CARSON	BBNV	BEAUMONT	LCEU	EUROPE	SRC_4	0	366.4
uic_82	A	C049	C075	C052	C061	HKBN	FT RILEY	GUQE	FORBES FLD	LCEU	EUROPE	SRC_8	750	32.6
uic_82	A	C033	C075	C056	C081	HKBN	FT RILEY	BBNV	BEAUMONT	LCEU	EUROPE	SRC_8	0	955.4
